ts;fundingRate;fundingRateLong;fundingRateShort
"5/12/2024, 14:00:05";0.003494957;0.003494957;0.003494957
"5/12/2024, 13:00:04";0.002778152;0.002778152;0.002778152
"5/12/2024, 12:00:12";0.003213505;0.003213505;0.003213505
"5/12/2024, 11:00:22";0.0021601520000000003;0.0021601520000000003;0.0021601520000000003
"5/12/2024, 10:00:31";0.002483134;0.002483134;0.002483134
"5/12/2024, 09:00:32";0.0021754189999999996;0.0021754189999999996;0.0021754189999999996
"5/12/2024, 08:00:18";0.002205401;0.002205401;0.002205401
"5/12/2024, 07:00:12";0.003024704;0.003024704;0.003024704
"5/12/2024, 06:00:14";0.002476304;0.002476304;0.002476304
"5/12/2024, 05:00:13";0.001815081;0.001815081;0.001815081
"5/12/2024, 04:00:07";0.002182814;0.002182814;0.002182814
"5/12/2024, 03:01:01";0.001932737;0.001932737;0.001932737
"5/12/2024, 02:00:21";0.002153967;0.002153967;0.002153967
"5/12/2024, 01:00:05";0.002536528;0.002536528;0.002536528
"5/12/2024, 00:01:10";0.002335691;0.002335691;0.002335691
"5/11/2024, 23:00:21";0.0017449520000000001;0.0017449520000000001;0.0017449520000000001
"5/11/2024, 22:00:14";0.002256629;0.002256629;0.002256629
"5/11/2024, 21:00:03";0.002849084;0.002849084;0.002849084
"5/11/2024, 20:01:14";0.003381294;0.003381294;0.003381294
"5/11/2024, 19:00:04";0.004432246;0.004432246;0.004432246
"5/11/2024, 18:00:01";0.004928104;0.004928104;0.004928104
"5/11/2024, 17:00:19";0.002744242;0.002744242;0.002744242
"5/11/2024, 16:00:19";-0.000021524000000000003;-0.000021524000000000003;-0.000021524000000000003
"5/11/2024, 15:00:41";-0.00032484200000000005;-0.00032484200000000005;-0.00032484200000000005
"5/11/2024, 14:00:23";-0.00042043;-0.00042043;-0.00042043
"5/11/2024, 13:00:07";-0.00017304;-0.00017304;-0.00017304
"5/11/2024, 12:00:09";0.000944265;0.000944265;0.000944265
"5/11/2024, 11:00:22";0.000711718;0.000711718;0.000711718
"5/11/2024, 10:00:05";0.0014852350000000001;0.0014852350000000001;0.0014852350000000001
"5/11/2024, 09:00:07";0.002085242;0.002085242;0.002085242
"5/11/2024, 08:00:09";0.002047578;0.002047578;0.002047578
"5/11/2024, 07:00:18";0.001341933;0.001341933;0.001341933
"5/11/2024, 06:00:07";0.001348801;0.001348801;0.001348801
"5/11/2024, 05:00:07";0.001864865;0.001864865;0.001864865
"5/11/2024, 04:00:27";0.002906137;0.002906137;0.002906137
"5/11/2024, 03:00:18";0.004686765000000001;0.004686765000000001;0.004686765000000001
"5/11/2024, 02:00:13";0.0036116909999999998;0.0036116909999999998;0.0036116909999999998
"5/11/2024, 01:00:16";0.003147659;0.003147659;0.003147659
"5/11/2024, 00:00:14";0.003413586;0.003413586;0.003413586
"5/10/2024, 23:00:12";0.004040193;0.004040193;0.004040193
"5/10/2024, 22:00:05";0.0042429139999999995;0.0042429139999999995;0.0042429139999999995
"5/10/2024, 21:00:00";0.002204204;0.002204204;0.002204204
"5/10/2024, 20:00:05";-0.001106781;-0.001106781;-0.001106781
"5/10/2024, 19:00:18";-0.002149949;-0.002149949;-0.002149949
"5/10/2024, 18:00:02";-0.00325487;-0.00325487;-0.00325487
"5/10/2024, 17:00:02";-0.005441134;-0.005441134;-0.005441134
"5/10/2024, 16:00:10";-0.006488484;-0.006488484;-0.006488484
"5/10/2024, 15:00:09";0.001244938;0.001244938;0.001244938
"5/10/2024, 14:00:01";0.000656953;0.000656953;0.000656953
"5/10/2024, 13:00:25";-0.000846151;-0.000846151;-0.000846151
"5/10/2024, 12:00:28";-0.00003762;-0.00003762;-0.00003762
"5/10/2024, 11:00:14";-0.00010207099999999999;-0.00010207099999999999;-0.00010207099999999999
"5/10/2024, 10:00:07";-0.000458141;-0.000458141;-0.000458141
"5/10/2024, 09:00:06";-0.001231934;-0.001231934;-0.001231934
"5/10/2024, 08:00:02";0.001110324;0.001110324;0.001110324
"5/10/2024, 07:00:18";0.001209527;0.001209527;0.001209527
"5/10/2024, 06:00:32";0.0012940070000000002;0.0012940070000000002;0.0012940070000000002
"5/10/2024, 05:00:19";0.0007120130000000001;0.0007120130000000001;0.0007120130000000001
"5/10/2024, 04:00:01";0.000527349;0.000527349;0.000527349
"5/10/2024, 03:00:01";-0.00006845500000000001;-0.00006845500000000001;-0.00006845500000000001
"5/10/2024, 02:00:27";-0.000213231;-0.000213231;-0.000213231
"5/10/2024, 01:00:01";-0.000699381;-0.000699381;-0.000699381
"5/10/2024, 00:00:02";0.0030122589999999998;0.0030122589999999998;0.0030122589999999998
"5/9/2024, 23:00:03";0.0057591840000000005;0.0057591840000000005;0.0057591840000000005
"5/9/2024, 22:00:17";0.005869997;0.005869997;0.005869997
"5/9/2024, 21:00:11";0.005644494;0.005644494;0.005644494
"5/9/2024, 20:00:02";0.003730119;0.003730119;0.003730119
"5/9/2024, 19:00:11";0.004007087;0.004007087;0.004007087
"5/9/2024, 18:00:06";0.003608306;0.003608306;0.003608306
"5/9/2024, 17:00:12";0.001593434;0.001593434;0.001593434
"5/9/2024, 16:00:05";0.002029907;0.002029907;0.002029907
"5/9/2024, 15:00:02";0.0031441729999999997;0.0031441729999999997;0.0031441729999999997
"5/9/2024, 14:00:03";0.006161518;0.006161518;0.006161518
